t_s,T_center_eta0_C,T_surface_eta0_C,T_center_eta1_C,T_surface_eta1_C,Cmax_eta0,Cmax_eta1
0.000,28.00000,28.00000,28.00000,28.00000,2.550000,2.550000
862.112,28.76939,30.83134,16.64406,10.30046,2.550000,2.550000
1724.223,31.85351,35.01146,11.54367,11.76087,2.549960,2.550000
2586.335,35.87589,39.11686,12.89465,15.27964,2.547691,2.549997
3448.447,39.75895,42.50547,16.16281,18.81404,2.531343,2.549918
4310.559,42.95939,45.03462,19.48969,21.77082,2.485979,2.549074
5172.670,45.34703,46.80145,22.30398,24.13961,2.410021,2.544750
6034.782,47.01013,48.03133,24.54689,26.01898,2.313605,2.531921
6896.894,48.15567,48.78679,26.31775,27.47002,2.208333,2.505934
7759.005,48.87721,49.24288,27.70187,28.63949,2.102304,2.465211
8621.117,49.32338,49.58213,28.86268,29.67004,1.999963,2.411177
9483.229,49.60793,49.78258,29.86182,30.55125,1.903018,2.346729
10345.341,49.79326,49.87094,30.73754,31.37668,1.811910,2.275024
11207.452,49.91377,49.93421,31.52604,32.05767,1.726490,2.198823
12069.564,49.94743,50.01109,32.21901,32.70506,1.646407,2.120446
12931.676,49.95516,49.99249,32.90489,33.36084,1.571329,2.041508
13793.788,49.98343,49.94727,33.55633,33.98663,1.500759,1.963090
14655.899,49.99500,49.99490,34.16613,34.58283,1.434275,1.886024
15518.011,49.99608,49.99729,34.75835,35.15746,1.371573,1.810872
16380.123,49.99752,49.99812,35.33137,35.71479,1.312382,1.737991
17242.234,49.99824,49.99854,35.88721,36.25638,1.256460,1.667610
18104.346,49.99860,49.99874,36.42735,36.78333,1.203596,1.599860
18966.458,49.99877,49.99884,36.95280,37.29641,1.153602,1.534804
19828.570,49.99886,49.99889,37.46426,37.79610,1.106310,1.472453
20690.681,49.99890,49.99891,37.96218,38.28271,1.061563,1.412788
21552.793,49.99892,49.99893,38.44683,38.75641,1.019220,1.355763
22414.905,49.99893,49.99893,38.91837,39.21730,0.979148,1.301315
23277.016,49.99893,49.99893,39.37688,39.66539,0.941221,1.249371
24139.128,49.99893,49.99893,39.82240,40.10070,0.905324,1.199849
25001.240,49.99893,49.99893,40.25493,40.52322,0.871346,1.152664
25863.352,49.99893,49.99893,40.67449,40.93296,0.839183,1.107729
26725.463,49.99893,49.99893,41.08110,41.32993,0.808737,1.064955
27587.575,49.99893,49.99893,41.47479,41.71418,0.779915,1.024253
28449.687,49.99893,49.99893,41.85561,42.08576,0.752628,0.985536
29311.799,49.99893,49.99893,42.22365,42.44476,0.726794,0.948717
30173.910,49.99893,49.99893,42.57902,42.79130,0.702332,0.913713
31036.022,49.99893,49.99893,42.92183,43.12550,0.679169,0.880442
31898.134,49.99893,49.99893,43.25226,43.44753,0.657233,0.848824
32760.245,49.99893,49.99893,43.57047,43.75757,0.636456,0.818782
33622.357,49.99893,49.99893,43.87665,44.05581,0.616775,0.790243
34484.469,49.99893,49.99893,44.17103,44.34247,0.598129,0.763133
35346.581,49.99893,49.99893,44.45383,44.61778,0.580461,0.737385
36208.692,49.99893,49.99893,44.72528,44.88197,0.563715,0.712932
37070.804,49.99893,49.99893,44.98564,45.13529,0.547841,0.689710
37932.916,49.99893,49.99893,45.23515,45.37800,0.532789,0.667657
38795.027,49.99893,49.99893,45.47409,45.61035,0.518513,0.646716
39657.139,49.99893,49.99893,45.70272,45.83260,0.504970,0.626829
40519.251,49.99893,49.99893,45.92130,46.04501,0.492117,0.607944
41381.363,49.99893,49.99893,46.13009,46.24784,0.479916,0.590009
42243.474,49.99893,49.99893,46.32936,46.44135,0.468329,0.572974
43105.586,49.99893,49.99893,46.51937,46.62579,0.457321,0.556793
43967.698,49.99893,49.99893,46.70038,46.80142,0.446860,0.541422
44829.809,49.99893,49.99893,46.87264,46.96849,0.436912,0.526816
45691.921,49.99893,49.99893,47.03642,47.12725,0.427450,0.512936
46554.033,49.99893,49.99893,47.19195,47.27793,0.418445,0.499744
47416.145,49.99893,49.99893,47.33948,47.42080,0.409871,0.487201
48278.256,49.99893,49.99893,47.47928,47.55609,0.401702,0.475274
49140.368,49.99893,49.99893,47.61159,47.68407,0.393916,0.463928
50002.480,49.99893,49.99893,47.73665,47.80497,0.386491,0.453132
50864.592,49.99893,49.99893,47.85474,47.91906,0.379406,0.442857
51726.703,49.99893,49.99893,47.96610,48.02660,0.372641,0.433073
52588.815,49.99893,49.99893,48.07102,48.12785,0.366177,0.423754
53450.927,49.99893,49.99893,48.16975,48.22310,0.359999,0.414874
54313.038,49.99893,49.99893,48.26257,48.31262,0.354089,0.406409
55175.150,49.99893,49.99893,48.34978,48.39668,0.348433,0.398336
56037.262,49.99893,49.99893,48.43164,48.47558,0.343016,0.390632
56899.374,49.99893,49.99893,48.50845,48.54959,0.337824,0.383278
57761.485,49.99893,49.99893,48.58049,48.61900,0.332846,0.376255
58623.597,49.99893,49.99893,48.64803,48.68409,0.328070,0.369543
59485.709,49.99893,49.99893,48.71136,48.74511,0.323483,0.363126
60347.820,49.99893,49.99893,48.77073,48.80234,0.319077,0.356987
61209.932,49.99893,49.99893,48.82642,48.85602,0.314841,0.351111
62072.044,49.99893,49.99893,48.87865,48.90639,0.310767,0.345483
62934.156,49.99893,49.99893,48.92768,48.95368,0.306845,0.340091
63796.267,49.99893,49.99893,48.97371,48.99811,0.303068,0.334920
64658.379,49.99893,49.99893,49.01697,49.03987,0.299428,0.329960
65520.491,49.99893,49.99893,49.05764,49.07915,0.295918,0.325198
66382.603,49.99893,49.99893,49.09590,49.11613,0.292532,0.320624
67244.714,49.99893,49.99893,49.13193,49.15097,0.289263,0.316228
68106.826,49.99893,49.99893,49.16589,49.18382,0.286106,0.312001
68968.938,49.99893,49.99893,49.19792,49.21482,0.283055,0.307934
69831.049,49.99893,49.99893,49.22815,49.24409,0.280104,0.304018
70693.161,49.99893,49.99893,49.25671,49.27177,0.277250,0.300246
71555.273,49.99893,49.99893,49.28372,49.29795,0.274487,0.296610
72417.385,49.99893,49.99893,49.30928,49.32274,0.271812,0.293104
73279.496,49.99893,49.99893,49.33349,49.34623,0.269219,0.289720
74141.608,49.99893,49.99893,49.35644,49.36852,0.266706,0.286454
75003.720,49.99893,49.99893,49.37821,49.38967,0.264269,0.283299
75865.831,49.99893,49.99893,49.39889,49.40976,0.261904,0.280249
76727.943,49.99893,49.99893,49.41853,49.42886,0.259608,0.277300
77590.055,49.99893,49.99893,49.43721,49.44703,0.257378,0.274447
78452.167,49.99893,49.99893,49.45499,49.46433,0.255212,0.271685
79314.278,49.99893,49.99893,49.47193,49.48082,0.253106,0.269011
80176.390,49.99893,49.99893,49.48806,49.49654,0.251059,0.266420
81038.502,49.99893,49.99893,49.50346,49.51154,0.249067,0.263908
81900.613,49.99893,49.99893,49.51815,49.52586,0.247129,0.261472
82762.725,49.99893,49.99893,49.53218,49.53954,0.245242,0.259108
83624.837,49.99893,49.99893,49.54559,49.55263,0.243404,0.256814
84486.949,49.99893,49.99893,49.55842,49.56514,0.241613,0.254586
85349.060,49.99893,49.99893,49.57069,49.57713,0.239868,0.252422
86211.172,49.99893,49.99893,49.58245,49.58860,0.238167,0.250319
87073.284,49.99893,49.99893,49.59371,49.59961,0.236507,0.248273
87935.396,49.99893,49.99893,49.60450,49.61016,0.234888,0.246284
88797.507,49.99893,49.99893,49.61486,49.62028,0.233308,0.244348
89659.619,49.99893,49.99893,49.62479,49.63000,0.231766,0.242464
90521.731,49.99893,49.99893,49.63434,49.63933,0.230259,0.240629
91383.842,49.99893,49.99893,49.64351,49.64830,0.228788,0.238841
92245.954,49.99893,49.99893,49.65232,49.65693,0.227350,0.237099
93108.066,49.99893,49.99893,49.66080,49.66523,0.225944,0.235401
93970.178,49.99893,49.99893,49.66896,49.67322,0.224570,0.233745
94832.289,49.99893,49.99893,49.67681,49.68092,0.223226,0.232130
95694.401,49.99893,49.99893,49.68437,49.68833,0.221911,0.230553
96556.513,49.99893,49.99893,49.69166,49.69547,0.220625,0.229015
97418.624,49.99893,49.99893,49.69869,49.70236,0.219366,0.227512
98280.736,49.99893,49.99893,49.70547,49.70901,0.218133,0.226045
99142.848,49.99893,49.99893,49.71201,49.71543,0.216926,0.224611
100004.960,49.99893,49.99893,49.71833,49.72162,0.215743,0.223210
100867.071,49.99893,49.99893,49.72442,49.72761,0.214584,0.221841
101729.183,49.99893,49.99893,49.73031,49.73339,0.213449,0.220501
102591.295,49.99893,49.99893,49.73601,49.73898,0.212336,0.219192
103453.406,49.99893,49.99893,49.74151,49.74439,0.211245,0.217910
104315.518,49.99893,49.99893,49.74684,49.74962,0.210174,0.216656
105177.630,49.99893,49.99893,49.75199,49.75468,0.209125,0.215428
106039.742,49.99893,49.99893,49.75698,49.75958,0.208095,0.214226
106901.853,49.99893,49.99893,49.76181,49.76433,0.207084,0.213048
107763.965,49.99893,49.99893,49.76649,49.76893,0.206093,0.211895
108626.077,49.99893,49.99893,49.77102,49.77339,0.205119,0.210765
109488.189,49.99893,49.99893,49.77542,49.77771,0.204163,0.209657
110350.300,49.99893,49.99893,49.77968,49.78190,0.203224,0.208572
111212.412,49.99893,49.99893,49.78382,49.78597,0.202302,0.207507
112074.524,49.99893,49.99893,49.78783,49.78992,0.201396,0.206463
112936.635,49.99893,49.99893,49.79172,49.79375,0.200506,0.205439
113798.747,49.99893,49.99893,49.79550,49.79747,0.199631,0.204434
114660.859,49.99893,49.99893,49.79917,49.80108,0.198771,0.203448
115522.971,49.99893,49.99893,49.80274,49.80459,0.197925,0.202480
116385.082,49.99893,49.99893,49.80620,49.80801,0.197094,0.201530
117247.194,49.99893,49.99893,49.80957,49.81132,0.196276,0.200597
118109.306,49.99893,49.99893,49.81285,49.81455,0.195472,0.199681
118971.417,49.99893,49.99893,49.81603,49.81769,0.194680,0.198781
119833.529,49.99893,49.99893,49.81913,49.82074,0.193902,0.197896
120695.641,49.99893,49.99893,49.82215,49.82372,0.193136,0.197027
121557.753,49.99893,49.99893,49.82508,49.82661,0.192382,0.196173
122419.864,49.99893,49.99893,49.82794,49.82943,0.191640,0.195334
123281.976,49.99893,49.99893,49.83072,49.83217,0.190909,0.194509
124144.088,49.99893,49.99893,49.83343,49.83484,0.190189,0.193697
125006.200,49.99893,49.99893,49.83607,49.83745,0.189480,0.192899
125868.311,49.99893,49.99893,49.83865,49.83999,0.188782,0.192114
126730.423,49.99893,49.99893,49.84116,49.84246,0.188095,0.191341
127592.535,49.99893,49.99893,49.84360,49.84488,0.187417,0.190581
128454.646,49.99893,49.99893,49.84599,49.84723,0.186750,0.189833
129316.758,49.99893,49.99893,49.84832,49.84953,0.186092,0.189097
130178.870,49.99893,49.99893,49.85059,49.85177,0.185444,0.188372
131040.982,49.99893,49.99893,49.85280,49.85396,0.184805,0.187659
131903.093,49.99893,49.99893,49.85497,49.85609,0.184175,0.186956
132765.205,49.99893,49.99893,49.85708,49.85818,0.183554,0.186264
133627.317,49.99893,49.99893,49.85914,49.86021,0.182941,0.185583
134489.428,49.99893,49.99893,49.86115,49.86220,0.182337,0.184911
135351.540,49.99893,49.99893,49.86312,49.86414,0.181741,0.184250
136213.652,49.99893,49.99893,49.86504,49.86604,0.181153,0.183598
137075.764,49.99893,49.99893,49.86692,49.86790,0.180573,0.182956
137937.875,49.99893,49.99893,49.86876,49.86971,0.180001,0.182323
138799.987,49.99893,49.99893,49.87055,49.87149,0.179437,0.181699
139662.099,49.99893,49.99893,49.87231,49.87322,0.178880,0.181083
140524.210,49.99893,49.99893,49.87403,49.87492,0.178330,0.180477
141386.322,49.99893,49.99893,49.87570,49.87658,0.177787,0.179879
142248.434,49.99893,49.99893,49.87735,49.87820,0.177251,0.179289
143110.546,49.99893,49.99893,49.87895,49.87979,0.176722,0.178707
143972.657,49.99893,49.99893,49.88053,49.88134,0.176200,0.178133
144834.769,49.99893,49.99893,49.88207,49.88287,0.175684,0.177567
145696.881,49.99893,49.99893,49.88358,49.88436,0.175175,0.177008
146558.993,49.99893,49.99893,49.88505,49.88582,0.174672,0.176457
147421.104,49.99893,49.99893,49.88650,49.88725,0.174175,0.175913
148283.216,49.99893,49.99893,49.88791,49.88865,0.173684,0.175376
149145.328,49.99893,49.99893,49.88930,49.89002,0.173199,0.174846
150007.439,49.99893,49.99893,49.89066,49.89136,0.172720,0.174323
150869.551,49.99893,49.99893,49.89199,49.89268,0.172246,0.173806
151731.663,49.99893,49.99893,49.89330,49.89397,0.171779,0.173296
152593.775,49.99893,49.99893,49.89458,49.89524,0.171316,0.172792
153455.886,49.99893,49.99893,49.89583,49.89648,0.170859,0.172295
154317.998,49.99893,49.99893,49.89706,49.89770,0.170407,0.171804
155180.110,49.99893,49.99893,49.89827,49.89889,0.169961,0.171318
156042.221,49.99893,49.99893,49.89945,49.90006,0.169519,0.170839
156904.333,49.99893,49.99893,49.90061,49.90121,0.169083,0.170365
157766.445,49.99893,49.99893,49.90175,49.90234,0.168651,0.169898
158628.557,49.99893,49.99893,49.90286,49.90344,0.168224,0.169435
159490.668,49.99893,49.99893,49.90396,49.90453,0.167802,0.168978
160352.780,49.99893,49.99893,49.90504,49.90559,0.167385,0.168527
161214.892,49.99893,49.99893,49.90609,49.90664,0.166972,0.168080
162077.004,49.99893,49.99893,49.90713,49.90767,0.166563,0.167639
162939.115,49.99893,49.99893,49.90815,49.90867,0.166159,0.167203
163801.227,49.99893,49.99893,49.90915,49.90966,0.165760,0.166772
164663.339,49.99893,49.99893,49.91013,49.91064,0.165364,0.166346
165525.450,49.99893,49.99893,49.91109,49.91159,0.164973,0.165924
166387.562,49.99893,49.99893,49.91204,49.91253,0.164586,0.165507
167249.674,49.99893,49.99893,49.91297,49.91345,0.164203,0.165095
168111.786,49.99893,49.99893,49.91388,49.91436,0.163823,0.164688
168973.897,49.99893,49.99893,49.91478,49.91525,0.163448,0.164284
169836.009,49.99893,49.99893,49.91566,49.91612,0.163077,0.163885
170698.121,49.99893,49.99893,49.91653,49.91698,0.162709,0.163491
171560.232,49.99893,49.99893,49.91738,49.91782,0.162345,0.163101
172422.344,49.99893,49.99893,49.91822,49.91866,0.161985,0.162714
173284.456,49.99893,49.99893,49.91905,49.91947,0.161628,0.162332
174146.568,49.99893,49.99893,49.91986,49.92028,0.161275,0.161954
175008.679,49.99893,49.99893,49.92065,49.92107,0.160925,0.161580
175870.791,49.99893,49.99893,49.92144,49.92184,0.160578,0.161210
176732.903,49.99893,49.99893,49.92221,49.92261,0.160235,0.160843
177595.014,49.99893,49.99893,49.92297,49.92336,0.159896,0.160480
178457.126,49.99893,49.99893,49.92371,49.92410,0.159559,0.160121
179319.238,49.99893,49.99893,49.92445,49.92483,0.159226,0.159766
180181.350,49.99893,49.99893,49.92517,49.92554,0.158896,0.159414
181043.461,49.99893,49.99893,49.92588,49.92625,0.158569,0.159066
181905.573,49.99893,49.99893,49.92658,49.92694,0.158245,0.158721
